id	loc	bytes	jp	en	edited_en
192:$4382	216:$5253	26	no<27><copy:01:19:C5> x<27><copy:01:1A:C5> y<27><copy:01:1B:C5><br><lookup:1C:C5>	no<27><copy:01:19:C5> x<27><copy:01:1A:C5> y<27><copy:01:1B:C5><br><lookup:1C:C5>	
192:$439D	216:$526E	7	わなにかかった	わなにかかった	
192:$43A5	216:$5276	10	アイテムをひろった。	アイテムをひろった。	
192:$43B0	216:$5281	19	イベント no 255 でフラグoff	イベント no 255 でフラグoff	
192:$43C4	216:$5295	0		<empty>	
192:$43C5	216:$5296	10	m00 どこでもドア	m00 どこでもドア	
192:$43D0	216:$52A1	13	m12<26>a ひる さきゅう	m12<26>a ひる さきゅう	
192:$43DE	216:$52AF	15	town<26>a ひる まち うえ	town<26>a ひる まち うえ	
192:$43EE	216:$52BF	15	town<26>b ひる まち した	town<26>b ひる まち した	
192:$43FE	216:$52CF	13	m12<26>b ゆう さきゅう	m12<26>b ゆう さきゅう	
192:$440C	216:$52DD	15	town<26>c ゆう まち うえ	town<26>c ゆう まち うえ	
192:$441C	216:$52ED	15	town<26>d ゆう まち した	town<26>d ゆう まち した	
192:$442C	216:$52FD	13	m12<26>c よる さきゅう	m12<26>c よる さきゅう	
192:$443A	216:$530B	15	town<26>e よる まち うえ	town<26>e よる まち うえ	
192:$444A	216:$531B	15	town<26>f よる まち した	town<26>f よる まち した	
192:$445A	216:$532B	8	n04 みんか1	n04 みんか1	
192:$4463	216:$5334	8	n05 みんか2	n05 みんか2	
192:$446C	216:$533D	18	n01 みんか3「きゅう どうぐや」	n01 みんか3「きゅう どうぐや」	
192:$447F	216:$5350	7	n02 そうこ	n02 そうこ	
192:$4487	216:$5358	11	n03<26>a かじや1f	n03<26>a かじや1f	
192:$4493	216:$5364	11	n03<26>b かじや2f	n03<26>b かじや2f	
192:$449F	216:$5370	10	n06 にんぎょうや	n06 にんぎょうや	
192:$44AA	216:$537B	9	n07 どうじょう	n07 どうじょう	
192:$44B4	216:$5385	9	n08 ふくびきや	n08 ふくびきや	
192:$44BE	216:$538F	7	m01 ろうや	m01 ろうや	
192:$44C6	216:$5397	14	m02 ちかろうだしゅつぐち	m02 ちかろうだしゅつぐち	
192:$44D5	216:$53A6	13	m03<26>a りょうりや1f	m03<26>a りょうりや1f	
192:$44E3	216:$53B4	13	m03<26>b りょうりや2f	m03<26>b りょうりや2f	
192:$44F1	216:$53C2	13	m04<26>a いせきいりぐち	m04<26>a いせきいりぐち	
192:$44FF	216:$53D0	16	m04<26>b いせきいりぐち なか	m04<26>b いせきいりぐち なか	
192:$4510	216:$53E1	13	m05 じゃんしんぞうのま	m05 じゃんしんぞうのま	
192:$451E	216:$53EF	15	m07<26>a じゃんしんぞうのま	m07<26>a じゃんしんぞうのま	
192:$452E	216:$53FF	11	m07<26>b まどのへや	m07<26>b まどのへや	
192:$453A	216:$540B	10	m08 わたりやぐら	m08 わたりやぐら	
192:$4545	216:$5416	17	m14<26>a どんでんがえしのろうか	m14<26>a どんでんがえしのろうか	
192:$4557	216:$5428	10	m14<26>b がいろう	m14<26>b がいろう	
192:$4562	216:$5433	12	m15 だいてんしゅかく	m15 だいてんしゅかく	
192:$456F	216:$5440	15	<26><26><26> cel テストひょうじ	<26><26><26> cel テストひょうじ	
192:$457F	216:$5450	13	<26><26><26> ダンジョンテスト1	<26><26><26> ダンジョンテスト1	
192:$458D	216:$545E	13	<26><26><26> ダンジョンテスト2	<26><26><26> ダンジョンテスト2	
192:$459B	216:$546C	0		<empty>	
192:$459C	216:$546D	4	デバッグ	デバッグ	
192:$45A1	216:$5472	4	アイテム	アイテム	
192:$45A6	216:$5477	5	モンスター	モンスター	
192:$45AC	216:$547D	15	サウンド「リプレイできません」	サウンド「リプレイできません」	
192:$45BC	216:$548D	15	イベント「リプレイできません」	イベント「リプレイできません」	
192:$45CC	216:$549D	3	map	map	
192:$45D0	216:$54A1	5	ダンジョン	ダンジョン	
192:$45D6	216:$54A7	4	シナリオ	シナリオ	
192:$45DB	216:$54AC	10	アイテム「しきべつ」	アイテム「しきべつ」	
192:$45E6	216:$54B7	16	そのた「ほぼリプレイできません」	そのた「ほぼリプレイできません」	
192:$45F7	216:$54C8	2	ぶき	ぶき	
192:$45FA	216:$54CB	2	たて	たて	
192:$45FD	216:$54CE	8	しょくりょう<D2>や	しょくりょう<D2>や	
192:$4606	216:$54D7	3	うでわ	うでわ	
192:$460A	216:$54DB	4	まきもの	まきもの	
192:$460F	216:$54E0	2	つえ	つえ	
192:$4612	216:$54E3	2	くさ	くさ	
192:$4615	216:$54E6	2	つぼ	つぼ	
192:$4618	216:$54E9	2	にく	にく	
192:$461B	216:$54EC	3	そのた	そのた	
192:$461F	216:$54F0	5	モンスター	モンスター	
192:$4625	216:$54F6	3	npc	npc	
192:$4629	216:$54FA	3	なかま	なかま	
192:$462D	216:$54FE	16	ぶんきa<27>フラグ0はonですよ！	ぶんきa<27>フラグ0はonですよ！	
192:$463E	216:$550F	17	ぶんきb<27>フラグ0はoffですよ！	ぶんきb<27>フラグ0はoffですよ！	
192:$4650	216:$5521	13	フラグ0をonにしました！	フラグ0をonにしました！	
192:$465E	216:$552F	14	フラグ0をoffにしました！	フラグ0をoffにしました！	
192:$466D	216:$553E	9	はやくにげて<D2><D2><D2>	はやくにげて<D2><D2><D2>	
192:$4677	216:$5548	9	なに？なんかよう？	なに？なんかよう？	
192:$4681	216:$5552	15	パフォーマンス「リプレイふか」	パフォーマンス「リプレイふか」	
192:$4691	216:$5562	15	allmove「リプレイふか」	allmove「リプレイふか」	
192:$46A1	216:$5572	14	てきぜんめつ「リプレイok」	てきぜんめつ「リプレイok」	
192:$46B0	216:$5581	3	bgm	bgm	
192:$46B4	216:$5585	2	me	me	
192:$46B7	216:$5588	2	se	se	
192:$46BA	216:$558B	4	stop	stop	
192:$46BF	216:$5590	5	tempo	tempo	
192:$46C5	216:$5596	4	mute	mute	
192:$46CA	216:$559B	3	ふつう	ふつう	
192:$46CE	216:$559F	3	はやい	はやい	
192:$46D2	216:$55A3	4	さいそく	さいそく	
192:$46D7	216:$55A8	3	おそい	おそい	
192:$46DB	216:$55AC	14	フラグ「リプレイできません」	フラグ「リプレイできません」	
192:$46EA	216:$55BB	16	スローモーション「リプレイふか」	スローモーション「リプレイふか」	
192:$46FB	216:$55CC	33	じどうbackupにしっぱいしました<page><br>おおのまでれんらくください	じどうbackupにしっぱいしました<page><br>おおのまでれんらくください	
192:$471D	216:$55EE	4	あおまつ	あおまつ	
192:$4722	216:$55F3	17	<EA>ヨウトウかまいたち<EB><EC><E8><E8><E8><E8><E8>	<EA>ヨウトウかまいたち<EB><EC><E8><E8><E8><E8><E8>	
192:$4734	216:$5605	21	<EA>腕輪<27>ビビビビビビビ<cracked><EB><E8><E8><E8><E8><E8>	<EA>腕輪<27>ビビビビビビビ<cracked><EB><E8><E8><E8><E8><E8>	
192:$474A	216:$561B	24	<EA>99本のかまいたち合成の矢<EB><E8><E8><E8><E8><E8>	<EA>99本のかまいたち合成の矢<EB><E8><E8><E8><E8><E8>	
192:$4763	216:$5634	17	<EA>肉「パコレプキン」<EB><E8><E8><E8><E8><E8>	<EA>肉「パコレプキン」<EB><E8><E8><E8><E8><E8>	
192:$4775	216:$5646	21	<EA>モンスターをすう壺「8」<EB><EC><E8><E8><E8><E8><E8>	<EA>モンスターをすう壺「8」<EB><EC><E8><E8><E8><E8><E8>	
192:$478B	216:$565C	23	<EA>ころばぬさきききの杖「<26>99」<EB><E8><E8><E8><E8><E8>	<EA>ころばぬさきききの杖「<26>99」<EB><E8><E8><E8><E8><E8>	
192:$47A3	216:$5674	10	わな「リプレイふか」	わな「リプレイふか」	
192:$47AE	216:$567F	15	こじんイベント「リプレイふか」	こじんイベント「リプレイふか」	
192:$47BE	216:$568F	17	agbにきりかえる「リプレイふか」	agbにきりかえる「リプレイふか」	
192:$47D0	216:$56A1	12	こうそく「リプレイふか」	こうそく「リプレイふか」	
192:$47DD	216:$56AE	4	xpos	xpos	
192:$47E2	216:$56B3	4	ypos	ypos	
192:$47E7	216:$56B8	3	map	map	
192:$47EB	216:$56BC	5	floor	floor	
192:$47F1	216:$56C2	18	ふるいデバッグモード「リプレイふか」	ふるいデバッグモード「リプレイふか」	
192:$4804	216:$56D5	16	しれんじょうほう「リプレイふか」	しれんじょうほう「リプレイふか」	
192:$4815	216:$56E6	9	シレンレベルmax	シレンレベルmax	
192:$481F	216:$56F0	11	せいぶつがすべておきる	せいぶつがすべておきる	
192:$482B	216:$56FC	13	コマおくり「リプレイふか」	コマおくり「リプレイふか」	
192:$4839	216:$570A	6	パラメータ1	パラメータ1	
192:$4840	216:$5711	6	パラメータ2	パラメータ2	
192:$4847	216:$5718	6	パラメータ3	パラメータ3	
192:$484E	216:$571F	6	パラメータ4	パラメータ4	
192:$4855	216:$5726	6	パラメータ5	パラメータ5	
192:$485C	216:$572D	6	パラメータ6	パラメータ6	
192:$4863	216:$5734	6	パラメータ7	パラメータ7	
192:$486A	216:$573B	6	パラメータ8	パラメータ8	
192:$4871	216:$5742	13	アイテムパラメータせいせい	アイテムパラメータせいせい	
192:$487F	216:$5750	15	レコードフラグ「リプレイふか」	レコードフラグ「リプレイふか」	
192:$488F	216:$5760	10	チュートリアルクリア	チュートリアルクリア	
192:$489A	216:$576B	7	やさしいクリア	やさしいクリア	
192:$48A2	216:$5773	6	ふつうクリア	ふつうクリア	
192:$48A9	216:$577A	8	むずかしいクリア	むずかしいクリア	
192:$48B2	216:$5783	7	じゃしんクリア	じゃしんクリア	
192:$48BA	216:$578B	7	さいはてクリア	さいはてクリア	
192:$48C2	216:$5793	5	にくクリア	にくクリア	
192:$48C8	216:$5799	5	わなクリア	わなクリア	
192:$48CE	216:$579F	8	あかずのまクリア	あかずのまクリア	
192:$48D7	216:$57A8	5	つぼクリア	つぼクリア	
192:$48DD	216:$57AE	8	イルパにもどれる	イルパにもどれる	
192:$48E6	216:$57B7	7	つづきができる	つづきができる	
192:$48EE	216:$57BF	8	にっきがそんざい	にっきがそんざい	
192:$48F7	216:$57C8	8	助けられている	助けられている	
192:$4900	216:$57D1	6	助けている	助けている	
192:$4907	216:$57D8	9	タイムアタック中	タイムアタック中	
192:$4911	216:$57E2	12	助ける方のデータあり	助ける方のデータあり	
192:$491E	216:$57EF	14	助けられる方のデータあり	助けられる方のデータあり	
192:$492D	216:$57FE	8	お助けせいこう	お助けせいこう	
192:$4936	216:$5807	11	お助されたことがある	お助されたことがある	
192:$4942	216:$5813	9	おれいの声がある	おれいの声がある	
192:$494C	216:$581D	8	お助けされて1	お助けされて1	
192:$4955	216:$5826	12	りれきをコンプリートで1	りれきをコンプリートで1	
192:$4962	216:$5833	13	オープニングイベントちゅう	オープニングイベントちゅう	
192:$4970	216:$5841	14	エンディングごイベントきどう	エンディングごイベントきどう	
192:$497F	216:$5850	10	メッセージそうにゅう	メッセージそうにゅう	
192:$498A	216:$585B	9	メッセージbank	メッセージbank	
192:$4994	216:$5865	9	メッセージばんごう	メッセージばんごう	
192:$499E	216:$586F	5	そうにゅう	そうにゅう	
192:$49A4	216:$5875	12	nopコマンドそうにゅう	nopコマンドそうにゅう	
192:$49B1	216:$5882	13	イベントビジュアル「ふか」	イベントビジュアル「ふか」	
192:$49BF	216:$5890	7	こていらんすう	こていらんすう	
192:$49C7	216:$5898	10	こていらんすうをけす	こていらんすうをけす	
192:$49D2	216:$58A3	11	デバッグモード「ふか」	デバッグモード「ふか」	
192:$49DE	216:$58AF	12	もとからbackup1へ	もとからbackup1へ	
192:$49EB	216:$58BC	12	もとからbackup2へ	もとからbackup2へ	
192:$49F8	216:$58C9	12	もとからbackup3へ	もとからbackup3へ	
192:$4A05	216:$58D6	12	backup1からもとへ	backup1からもとへ	
192:$4A12	216:$58E3	12	backup2からもとへ	backup2からもとへ	
192:$4A1F	216:$58F0	12	backup3からもとへ	backup3からもとへ	
192:$4A2C	216:$58FD	7	日記コピー	日記コピー	
192:$4A34	216:$5905	11	まじないフラグ「ふか」	まじないフラグ「ふか」	
192:$4A40	216:$5911	6	たおしたかず	たおしたかず	
192:$4A47	216:$5918	5	ターンすう	ターンすう	
192:$4A4D	216:$591E	5	そうフロア	そうフロア	
192:$4A53	216:$5924	21	assert<27><number:19:C5> val<27><number:1A:C5><page>	assert<27><number:19:C5> val<27><number:1A:C5><page>	
192:$4A69	216:$593A	16	すべて<D0>しきべつじょうたいにする	すべて<D0>しきべつじょうたいにする	
192:$4A7A	216:$594B	13	デバッグサポートスクリプト	デバッグサポートスクリプト	
192:$4A88	216:$5959	13	肉フラグをずかんにのせる	肉フラグをずかんにのせる	
192:$4A96	216:$5967	13	ワナフラグをずかんにのせる	ワナフラグをずかんにのせる	
192:$4BD0	216:$5975	15	みえざるもの	Invisible Thing	
192:$4BD7	216:$5985	5	マムル	Mamel	
192:$4BDB	216:$598B	7	ボウヤー	Bow Boy	
192:$4BE0	216:$5993	4	タウロス	Taur	
192:$4BE5	216:$5998	13	いやしウサギ	Healer Rabbit	
192:$4BEC	216:$59A6	13	きめんむしゃ	Demon Warrior	
192:$4BF3	216:$59B4	13	ぼうれいむしゃ	Ghost Warrior	
192:$4BFB	216:$59C2	10	ぴーたん	Scurry Egg	
192:$4C00	216:$59CD	8	シューベル	Schubell	
192:$4C06	216:$59D6	12	とおせんりゅう	Floor Dragon	
192:$4C0E	216:$59E3	11	パコレプキン	Pumphantasm	
192:$4C15	216:$59EF	8	オヤジせんしゃ	Pop Tank	
192:$4C1D	216:$59F8	12	にぎりへんげ	Nigiri Morph	
192:$4C24	216:$5A05	10	ノロージョ	Curse Girl	
192:$4C2A	216:$5A10	5	ゲイズ	Gazer	
192:$4C2E	216:$5A16	11	かっとびイノシシ	Impact Boar	
192:$4C37	216:$5A22	8	コドモせんしゃ	Boy Tank	
192:$4C3F	216:$5A2B	5	ミドロ	Slime	
192:$4C43	216:$5A31	5	デブータ	Porky	
192:$4C48	216:$5A37	6	ドラゴン	Dragon	
192:$4C4D	216:$5A3E	10	セルアーマー	Cell Armor	
192:$4C54	216:$5A49	12	しのつかい	Death Reaper	
192:$4C5A	216:$5A56	10	ワルガマラ	Bad Froggo	
192:$4C60	216:$5A61	8	おばけダイコン	Mutaikon	
192:$4C68	216:$5A6A	8	ヒャクメ	Gawkulus	
192:$4C6D	216:$5A73	9	まどろみつかい	Doze Mage	
192:$4C75	216:$5A7D	13	ワルっトド	Bad Zalokleft	
192:$4C7B	216:$5A8B	9	すすりムシ	Sip Leech	
192:$4C81	216:$5A95	11	かさタヌキ	Wily Tanuki	
192:$4C87	216:$5AA1	11	エーテルデビル	Ether Devil	
192:$4C8F	216:$5AAD	11	へいたいアリ	Soldier Ant	
192:$4C96	216:$5AB9	10	ガイコツまどう	Skull Mage	
192:$4C9E	216:$5AC4	9	じんめんいわ	Rock Head	
192:$4CA5	216:$5ACE	11	ちょうちんフグ	Lamp Puffer	
192:$4CAD	216:$5ADA	9	ばくだんウニ	Explochin	
192:$4CB4	216:$5AE4	10	カラスてんぐ	Crow Tengu	
192:$4CBB	216:$5AEF	10	ウルロイド	Wolf Droid	
192:$4CC1	216:$5AFA	8	アイアンヘッド	Ironhead	
192:$4CC9	216:$5B03	12	バットカンガルー	Bat Kangaroo	
192:$4CD2	216:$5B10	10	ミニマゼルン	Mini Mixer	
192:$4CD9	216:$5B1B	6	タベラレルー	Snacky	
192:$4CE0	216:$5B22	10	ワナニン	Trap Genin	
192:$4CE5	216:$5B2D	11	ひまガッパ	Bored Kappa	
192:$4CEB	216:$5B39	12	ヒツジしんかん	Sheep Priest	
192:$4CF3	216:$5B46	13	コクワガッター	Punter Scarab	
192:$4CFB	216:$5B54	6	ギャドン	Gyadon	
192:$4D00	216:$5B5B	10	サムライどん	Samuraidon	
192:$4D07	216:$5B66	10	イカキング	Squid King	
192:$4D0D	216:$5B71	9	つえふりわらべ	Baby Mage	
192:$4D15	216:$5B7B	13	ウツボカズラ	Pitcher Plant	
192:$4D1C	216:$5B89	9	けいほうバエ	Alert Fly	
192:$4D23	216:$5B93	13	はじきコガネ	Lobber Beetle	
192:$4D2A	216:$5BA1	7	ゴーグラー	Goggler	
192:$4D30	216:$5BA9	12	やみかむろ	Dark Slasher	
192:$4D36	216:$5BB6	11	からぶりせんにん	Daze Hermit	
192:$4D3F	216:$5BC2	10	いねむりせんにん	Dozy Genie	
192:$4D48	216:$5BCD	10	壺つりジジイ	Pot Fisher	
192:$4D50	216:$5BD8	9	ジャンガリガン	Jungarian	
192:$4D58	216:$5BE2	5	ギャザー	Gyaza	
192:$4D5D	216:$5BE8	11	ヤミウッチー	Dark Vassal	
192:$4D64	216:$5BF4	6	モラビー	Morabi	
192:$4D69	216:$5BFB	11	にらみヘビ	Glare Snake	
192:$4D6F	216:$5C07	12	ねずみこぶん	Minion Mouse	
192:$4D76	216:$5C14	13	カラカイおさる	Teaser Monkey	
192:$4D7E	216:$5C22	8	チンタラ	Chintala	
192:$4D83	216:$5C2B	11	パおう	King Tusker	
192:$4D87	216:$5C37	11	くねくねハニー	Twisty Hani	
192:$4D8F	216:$5C43	14	マスターチキン	Master Chicken	
192:$4D97	216:$5C52	7	チキン	Chicken	
192:$4D9B	216:$5C5A	13	あくまだんしゃく	Vampire Baron	
192:$4DA4	216:$5C68	6	ダギャン	Dagyan	
192:$4DA9	216:$5C6F	8	ざぜんどうし	Zen Guru	
192:$4DB0	216:$5C78	10	あやしいひとだま	Shady Wisp	
192:$4DB9	216:$5C83	10	きりせんにん	Fog Hermit	
192:$4DC0	216:$5C8E	5	ザガン	Zagan	
192:$4DC4	216:$5C94	13	ザガン（ダミー）	Zagan (Dummy)	
192:$4DCF	216:$5CA2	4	領主	Lord	
192:$4DD4	216:$5CA7	12	りょうしゅ（ダミー）	Lord (Dummy)	
192:$4DE1	216:$5CB4	5	キュラス	Curas	
192:$4DE6	216:$5CBA	5	キュラス	Curas	
192:$4DEB	216:$5CC0	8	邪神	Evil God	
192:$4DF0	216:$5CC9	9	ゼンマイガー	Zenmaiger	
192:$4DF7	216:$5CD3	4	マーモ	Mamo	
192:$4DFB	216:$5CD8	4	ンフー	Nfuu	
192:$4DFF	216:$5CDD	12	ンフー（ダミー）	Nfuu (Dummy)	
192:$4E0A	216:$5CEA	8	にせもの	Impostor	
192:$4E0F	216:$5CF3	7	おにぎり	Onigiri	
192:$4E14	216:$5CFB	12	やりすごしツボ	Imprison Pot	
192:$4E1C	216:$5D08	7	とうぞくばん	Sheriff	
192:$4E23	216:$5D10	9	ばんけん	Guard Dog	
192:$4E28	216:$5D1A	10	店主	Shopkeeper	
192:$4E2D	216:$5D25	5	コッパ	Koppa	
192:$4E31	216:$5D2B	13	コッパ（ダミー）	Koppa (Dummy)	
192:$4E3C	216:$5D39	6	ペケジ	Pekeji	
192:$4E40	216:$5D40	14	ペケジ（ダミー）	Pekeji (Dummy)	
192:$4E4B	216:$5D4F	4	お竜	Oryu	
192:$4E4F	216:$5D54	12	おりゅう（ダミー）	Oryu (Dummy)	
192:$4E5B	216:$5D61	14	アテカ姫	Princess Ateka	
192:$4E61	216:$5D70	5	サチ	Sachi	
192:$4E64	216:$5D76	12	魔城兵	Rookie Guard	
192:$4E6B	216:$5D83	13	邪神のいちぶ	Evil God Part	
192:$4E74	216:$5D91	4	もぐら	Mole	
192:$4E78	216:$5D96	14	にせじんめんいわ	Fake Rock Head	
192:$4E81	216:$5DA5	9	道具屋	Item Shop	
192:$4E88	216:$5DAF	4	ぎんこう	Bank	
192:$4E8D	216:$5DB4	5	オハギ	Ohagi	
192:$4E91	216:$5DBA	6	キナコ	Kinako	
192:$4E95	216:$5DC1	14	うらないオババ	Fortune-teller	
192:$4E9D	216:$5DD0	10	かじ屋	Blacksmith	
192:$4EA2	216:$5DDB	12	うけつけ	Receptionist	
192:$4EA7	216:$5DE8	17	風来のサブ	Sabu the Wanderer	
192:$4EAF	216:$5DFA	17	風来のロク	Roku the Wanderer	
192:$4EB7	216:$5E0C	18	風来のシロ	Shiro the Wanderer	
192:$4EBF	216:$5E1F	14	ハトがかり	Pigeon Handler	
192:$4EC5	216:$5E2E	18	風来のハチ	Hachi the Wanderer	
192:$4ECD	216:$5E41	4	グッド	Good	
192:$4ED1	216:$5E46	7	トレパン	Torepan	
192:$4ED6	216:$5E4E	3	ライ	Rai	
192:$4ED9	216:$5E52	3	オロ	Oro	
192:$4EDC	216:$5E56	5	ワンダ	Wanda	
192:$4EE0	216:$5E5C	8	アモカチ	Amokachi	
192:$4EE5	216:$5E65	8	メケレレ	Mekerere	
192:$4EEA	216:$5E6E	8	イチペバ	Ichipeba	
192:$4EEF	216:$5E77	6	ニペバ	Nipeba	
192:$4EF3	216:$5E7E	7	サンペバ	Sanpeba	
192:$4EF8	216:$5E86	7	ヌワンコ	Nuwanko	
192:$4EFD	216:$5E8E	4	ゴト	Goto	
192:$4F00	216:$5E93	9	リヒピシ	Rihipishi	
192:$4F05	216:$5E9D	4	サラ	Sara	
192:$4F08	216:$5EA2	5	ミナイ	Minai	
192:$4F0C	216:$5EA8	4	キコ	Kiko	
192:$4F0F	216:$5EAD	3	タオ	Tao	
192:$4F12	216:$5EB1	8	ブブヤロ	Bubuyaro	
192:$4F17	216:$5EBA	5	シズ	Shizu	
192:$4F1A	216:$5EC0	18	いきだおれ	Collapsed Wanderer	
192:$4F20	216:$5ED3	8	ビッグモアイ	Big Moai	
192:$4F27	216:$5EDC	6	りょうしゅ2	Lord 2	
192:$4F2E	216:$5EE3	14	りょうしゅ2（ダミー）	Lord 2 (Dummy)	
192:$4F3C	216:$5EF2	16	そうこ番	Storehouse Guard	
192:$4F42	216:$5F03	19	キュラス（へんしん）	Curas (Transformed)	
192:$4F4F	216:$5F17	5	せつめい	Guide	
192:$4F54	216:$5F1D	7	ガイバラ	Gaibara	
192:$4F59	216:$5F25	8	サルヤマ	Saruyama	
192:$4F5E	216:$5F2E	9	ビビンギダ	Bibingida	
192:$4F64	216:$5F38	5	ソンガ	Songa	
192:$4F68	216:$5F3E	6	コマル	Komaru	
192:$4F6C	216:$5F45	9	ヒゲチヨ	Higechiyo	
192:$4F71	216:$5F4F	14	まじょうへい	Castle Soldier	
192:$4F78	216:$5F5E	16	まじょうへい2	Castle Soldier 2	
192:$4F80	216:$5F6F	16	まじょうへい3	Castle Soldier 3	
192:$50B4	216:$5F80	15	みえざるもの	Invisible Thing	
192:$50BB	216:$5F90	9	あなぐらマムル	Pit Mamel	
192:$50C3	216:$5F9A	12	クロスボウヤー	Crossbow Boy	
192:$50CB	216:$5FA7	8	ミノタウロス	Minotaur	
192:$50D2	216:$5FB0	11	きゅうめいウサギ	Life Rabbit	
192:$50DB	216:$5FBC	14	はんにゃむしゃ	Hannya Warrior	
192:$50E3	216:$5FCB	12	ぼうれいはんにゃ	Ghost Hannya	
192:$50EC	216:$5FD8	11	にげピータン	Scamper Egg	
192:$50F3	216:$5FE4	7	メンベルス	Menbell	
192:$50F9	216:$5FEC	11	ドラゴンヘッド	Dragon Head	
192:$5101	216:$5FF8	10	パコレプキーナ	Pumphantom	
192:$5109	216:$6003	11	ガンコせんしゃ	Grampa Tank	
192:$5111	216:$600F	11	にぎりおやかた	Nigiri Boss	
192:$5119	216:$601B	12	ノロージョのあね	Curse Sister	
192:$5122	216:$6028	11	スーパーゲイズ	Super Gazer	
192:$512A	216:$6034	10	げきとつイノシシ	Crash Boar	
192:$5133	216:$603F	9	ちびタンク	Mini Tank	
192:$5139	216:$6049	5	ゲドロ	Grime	
192:$513D	216:$604F	5	デブーチョ	Porko	
192:$5143	216:$6055	10	スカイドラゴン	Sky Dragon	
192:$514B	216:$6060	12	クロムアーマー	Chrome Armor	
192:$5153	216:$606D	11	じごくのししゃ	Hell Reaper	
192:$515B	216:$6079	13	ワルガマグッチ	Bad Froggucci	
192:$5163	216:$6087	7	めまわしダイコン	Dazikon	
192:$516C	216:$608F	8	おおヒャクメ	Lockulus	
192:$5173	216:$6098	13	ねむりそうりょ	Sleep Warlock	
192:$517B	216:$60A6	14	ギャングっトド	Gang Zalokleft	
192:$5183	216:$60B5	11	きゅういんちゅう	Slurp Leech	
192:$518C	216:$60C1	13	からかさタヌキ	Tricky Tanuki	
192:$5194	216:$60CF	13	ホルムデーモン	Phantom Devil	
192:$519C	216:$60DD	11	たいちょうアリ	Captain Ant	
192:$51A4	216:$60E9	12	ガイコツまじん	Skull Wizard	
192:$51AC	216:$60F6	9	きめんがんせき	Ogre Rock	
192:$51B4	216:$6100	14	あんどんフグ	Lantern Puffer	
192:$51BB	216:$610F	11	ばくれつウニ	Concusschin	
192:$51C2	216:$611B	12	ハヤブサてんぐ	Falcon Tengu	
192:$51CA	216:$6128	11	ゴリボット	Gorilla Bot	
192:$51D0	216:$6134	9	チェインヘッド	Chainhead	
192:$51D8	216:$613E	13	エビルカンガルー	Evil Kangaroo	
