id	sections	draft
194:$590B	item_and_action_messages	<box>Max Fullness decreased by <copy:01:19:C5> points.
194:$5924	item_and_action_messages	<number:19:C5> <cF3>grew stronger.
194:$5933	item_and_action_messages	<box><number:19:C5> <cF3>rusted and grew weaker.
194:$5946	item_and_action_messages	<box><number:19:C5> <cF3>did not rust.
194:$5956	item_and_action_messages	What! <number:19:C5> <cF3>was <lookup:1A:C5>!
194:$5969	item_and_action_messages	<lookup:19:C5> <cF3>failed to emerge.
194:$597C	item_and_action_messages	Took <number:1A:C5> <cF3>out of the Pot.
194:$598D	item_and_action_messages	Took <copy:01:1A:C5> out of <number:19:C5>.
194:$59A4	item_and_action_messages	Your pack is full, so the item could not be removed.
194:$59B7	item_and_action_messages	Put <number:1A:C5> <cF3>into the Pot.
194:$59C9	item_and_action_messages	Put <copy:01:1A:C5> into <number:19:C5>.
194:$59DF	item_and_action_messages	<lookup:19:C5> was <cF3>sucked into <cF3><number:1B:C5>.
194:$59F2	item_and_action_messages	A Pot cannot go inside a Pot.
194:$5A05	item_and_action_messages	The Pot is full. Nothing else will fit.
194:$5A1C	item_and_action_messages	<number:19:C5> was <cF3>empty.
194:$5A2C	item_and_action_messages	<number:19:C5> <cF3>broke.
194:$5A38	item_and_action_messages	<box><number:19:C5> <cF3>grew larger.
194:$5A49	item_and_action_messages	<number:19:C5> cannot grow any larger.
194:$5A5F	item_and_action_messages	<number:19:C5> <cF3>grew smaller.
194:$5A6F	item_and_action_messages	<number:19:C5> cannot grow any smaller.
194:$5A86	item_and_action_messages	<number:19:C5> <cF3>became unbreakable.
194:$5A95	item_and_action_messages	Filled <cF3><number:19:C5> <cF3>with water.
194:$5AA4	item_and_action_messages	You cannot draw water here!
194:$5AB2	item_and_action_messages	It cannot hold any more water!
194:$5AC4	item_and_action_messages	<lookup:19:C5> <cF3>splashed water.
194:$5AD3	item_and_action_messages	But there was nothing to absorb.
194:$5AE5	item_and_action_messages	Absorbed <cF3><number:19:C5>.
194:$5AF3	item_and_action_messages	<number:19:C5> was too small to enter.
194:$5B0A	item_and_action_messages	<number:19:C5> <cF3>disappeared.
194:$5B19	item_and_action_messages	You cannot dig here!
194:$5B23	item_and_action_messages	Got <cF3><number:19:C5>.
194:$5B30	item_and_action_messages	Put down <cF3><number:19:C5>.
194:$5B3C	item_and_action_messages	Discarded <cF3><number:19:C5>.
194:$5B48	item_and_action_messages	Stepped onto <cF3><number:19:C5>.
194:$5B57	item_and_action_messages	Your pack is full. You cannot carry anything else.
194:$5B70	item_and_action_messages	<number:19:C5> <cF3>became unusable.
194:$5B85	item_and_action_messages	Strength recovered.
194:$5B92	item_and_action_messages	Strength increased by <copy:01:19:C5>.
194:$5BA6	item_and_action_messages	Strength decreased by <copy:01:19:C5>.
194:$5BBA	item_and_action_messages	<box>Max Strength increased by <copy:01:19:C5>.
194:$5BD6	item_and_action_messages	<box>Max Strength decreased by <copy:01:19:C5>.
194:$5BF2	item_and_action_messages	You can now see invisible things.
194:$5C06	item_and_action_messages	You can now see the entire floor.
194:$5C1D	item_and_action_messages	<name>'s mouth is sealed!
194:$5C2B	item_and_action_messages	<name> grew a little stronger!
194:$5C3A	item_and_action_messages	<name> became unable to pick up items.
194:$5C4B	item_and_action_messages	<name> cannot pick up items!
194:$5C59	item_and_action_messages	Lucky! Everything in your pack was identified.
194:$5C71	item_and_action_messages	The monsters began moving faster.
194:$5C84	item_and_action_messages	<lookup:19:C5> vanished from the dungeon!
194:$5C9A	item_and_action_messages	The curses on your items were lifted.
194:$5CA9	item_and_action_messages	Traps appeared all over the floor.
194:$5CBC	item_and_action_messages	<number:19:C5> is stuck and won't come off!
194:$5CD1	item_and_action_messages	All traps on the floor vanished.
194:$5CE5	item_and_action_messages	But the Scroll was blank.
194:$5CF7	item_and_action_messages	You wrote a spell on the Scroll, but the words quickly vanished.
194:$5D1B	item_and_action_messages	<number:19:C5> <cF3>became <cF3><number:1A:C5>.
194:$5D2B	item_and_action_messages	Opening the Scroll covered your hands in sticky rice!
194:$5D4F	item_and_action_messages	But no ally could be summoned.
194:$5D60	item_and_action_messages	Pulled your ally closer.
194:$5D6C	item_and_action_messages	Pulled every monster on the floor closer.
194:$5D80	item_and_action_messages	Pulled every item on the floor closer.
194:$5D93	item_and_action_messages	But there was nothing to pull closer.
194:$5DA5	item_and_action_messages	<box><number:19:C5> was <cF3>plated!
194:$5DB5	item_and_action_messages	The crack in <cF3><number:19:C5> was <cF3>repaired!
194:$5DC5	item_and_action_messages	<number:19:C5> <cF3>cracked.
194:$5DD5	item_and_action_messages	<number:19:C5> <cF3>burned up.
194:$5DE5	item_and_action_messages	<number:19:C5> <cF3>broke.<page>
194:$5DF7	item_and_action_messages	<number:19:C5> <cF3>surged with power!
194:$5E0A	item_and_action_messages	<number:19:C5> <cF3>emitted a strange light.
194:$5E1F	item_and_action_messages	Knocked <cF3><number:19:C5> away!
194:$5E2C	item_and_action_messages	<lookup:19:C5> was not <cF3>carrying anything.
194:$5E41	item_and_action_messages	<number:19:C5> <cF3>became a Large Onigiri!
194:$5E5B	item_and_action_messages	<number:19:C5>'s <cF3>plating peeled off!
194:$5E70	item_and_action_messages	<number:19:C5> was <cF3>cursed!
194:$5E7E	item_and_action_messages	<number:19:C5> was <cF3>blessed!
194:$5E8F	item_and_action_messages	<number:19:C5>'s <cF3>blessing wore off.
194:$5EA7	item_and_action_messages	But <number:19:C5> was not cursed!
194:$5EBB	item_and_action_messages	A fiery breath scorched <cF3><lookup:19:C5>!
194:$5ECD	item_and_action_messages	You can no longer explode!
194:$5EDA	item_and_action_messages	You cannot set a trap here!
194:$5EEC	item_and_action_messages	Placed <lookup:19:C5> on the ground.
194:$5EFD	item_and_action_messages	Modified <lookup:19:C5> <cF3>into <lookup:1B:C5>.
194:$5F14	item_and_action_messages	Picked up <lookup:19:C5> as Trap Parts.
194:$5F29	item_and_action_messages	<lookup:19:C5> is already <cF3>set.
194:$5F3A	item_and_action_messages	This trap cannot be modified.
194:$5F4A	item_and_action_messages	It could not be salvaged as Trap Parts.
194:$5F59	item_and_action_messages	<lookup:19:C5> got damp and broke.
194:$5F68	item_and_action_messages	Broke <lookup:19:C5>.
194:$5F74	item_and_action_messages	Trap Parts cannot be exchanged.
194:$5F85	item_and_action_messages	<number:19:C5> went <cF3>inside <number:1A:C5>!
194:$5F9A	item_and_action_messages	The Shield prevented the curse.
194:$5FAC	item_and_action_messages	The Bracelet prevented the curse.
194:$5FC0	item_and_action_messages	The Bracelet prevented your level from dropping.
194:$5FD8	item_and_action_messages	The Bracelet prevented your Strength from dropping.
194:$5FF0	item_and_action_messages	The Bracelet prevented your Max Strength from dropping.
194:$600F	item_and_action_messages	The Bracelet protected you.
194:$6023	item_and_action_messages	The Bracelet prevented your Fullness from dropping.
194:$603D	item_and_action_messages	Your equipment kept you from being blinded.
194:$6057	item_and_action_messages	Seewell Grass kept you from being blinded.
194:$6072	item_and_action_messages	But Revival Grass revived you!
194:$608A	item_and_action_messages	But the rescue party revived you!
194:$60A3	item_and_action_messages	Mamo: AUTO-STORING <number:19:C5>!
194:$60BA	item_and_action_messages	But the magic was nullified!
194:$60CB	item_and_action_messages	<number:19:C5> was absorbed by the Evil God.
194:$60E2	item_and_action_messages	The magic was absorbed by the Evil God.
